References	Qty	MPN	Description
A1	1	2450AT18D0100E	2.4GHz Chip antenna 1.5dBi
C1, C12, C13	3	CC0603KRX7R9BB103	Capacitor 10nF 0603 X7R
C2, C3, C14, C15	4	CC0603CRNPO9BN100	Capacitor 10pF 0603 C0G
C4	1	GRM1885C1H302JA01D	Capacitor 3nF 0603 C0G
C5, C7, C8, C10, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C30, C31	16	CC0603KRX7R7BB104	Capacitor 0.1uF 0603 X7R
C6, C26, C28	3	GRM188R6YA106MA73D	Capacitor 10uF 0603 X5R
C9	1	CL10B105KP8NNNC	Capacitor 1uF 0603 X7R
C11	1	CC0603JRNPO9BN101	Capacitor 100pF 0603 C0G
C27, C29	2	CC0805MKX5R6BB226	Capacitor 22uF 0805 X5R
D1	1	NSR0530HT1G	Diode Schottky 30V 500mA
D2	1	LH R974-LP-1	Diode LED Red 0805
F1, F2	2	0ZCJ0050AF2E	Fuse PTC 500mA 1206
J1	1	PRPC006DBAN-M71RC	Connector 0.1" Horizontal 6x2
J2	1	10118192-0001LF	Connector USB Micro B
L1	1	MLG1005S1N6BTD25	Inductor 1.6nH 0402
L2, L3	2	CBC2012T2R2M	Inductor 2.2uH 0805 530mA
R1	1	RC0603FR-0720KL	Resistor 20k 1% 0603
R3, R4, R5, R6, R7, R8, R9, R10, R11, R12	10	RC0603FR-0710KL	Resistor 10k 1% 0603
R13	1	RC0603FR-071KL	Resistor 1k 1% 0603
R14, R15, R16	3	RC0603FR-07120RL	Resistor 120 1% 0603
S1	1	PTS820-J15M-SMTR-LFS	Switch Momentary SPST-NO
SH1	1	BMI-S-102	RF Shield 0.65"x0.65" 1 Piece
U1	1	ESP32	ESP32 WiFi/BLE SoC
U2	1	SST26WF080BT-104I/NP	NOR Flash 1MB USON-8 2mm x 3mm
U3, U4, U5	3	MCP2515T-I/ML	Controller CAN SPI VQFN-20 4mm x 4mm
U6, U7, U8	3	MCP2558FDT-H/MNY	TXRX CAN TDFN-8 2mm x 3mm
U9	1	TPS62173DSGR	Switching Regulator Fixed 5V 500mA WSON-8 2mm x 2mm
U10	1	TPS62172DSGR	Switching Regulator Fixed 3.3V 500mA WSON-8 2mm x 2mm
U11	1	CP2104-F03-GM	USB to UART Bridge w/ GPIO QFN-24 4mm x 4mm
Y2	1	403C11E16M00000	Crystal 16MHz ±10ppm 3.2mm x 2.5mm
Y1	1	403C11A40M00000	Crystal 40MHz ±10ppm 3.2mm x 2.5mm
